date,Jackson,Jasper,Adams,Clay,Kemper,Tunica,Hinds,Jones,Lee,Madison,Pearl River
2018-09-06,,,,,,,,,,4,0
2018-09-07,,,,,,,,,,3,1
2018-09-08,,,,,,,,,,1,0
2018-09-09,,,,,,,,,,3,0
2018-09-10,,,,,,,,,,6,1
2018-09-11,,,,,,,,,,5,0
2018-09-12,,,,,,,,,,12,5
2018-09-13,,,,,,,,,,17,1
2018-09-14,,,,,,,,,,21,4
2018-09-15,,,,,,,,,,5,0
2018-09-16,,,,,,,,,,7,0
2018-09-17,,,,,,,,,,6,2
2018-09-18,,,,,,,,,,11,0
2018-09-19,,,,,,,,,,16,0
2018-09-20,,,,,,,,,,8,0
2018-09-21,,,,,,,,,,22,0
2018-09-22,,,,,,,,,,9,0
2018-09-23,,,,,,,,,,5,1
2018-09-24,,,,,,,,,,11,0
2018-09-25,,,,,,,,,,11,0
2018-09-26,,,,,,,,,,19,1
2018-09-27,,,,,,,,,,13,0
2018-09-28,,,,,,,,,,12,1
2018-09-29,,,,,,,,,,9,0
2018-09-30,,,,,,,,,,10,2
2018-10-01,,,,,,,,,,12,1
2018-10-02,,,,,,,,,,11,2
2018-10-03,,,,,,,,,,17,0
2018-10-04,,,,,,,,,,15,2
2018-10-05,,,,,,,,,,10,1
2018-10-06,,,,,,,,,,13,0
2018-10-07,,,,,,,,,,8,0
2018-10-08,,,,,,,,,,3,1
2018-10-09,,,,,,,,,,6,1
2018-10-10,,,,,,,,,,12,0
2018-10-11,,,,,,,,,,12,2
2018-10-12,,,,,,,,,,17,0
2018-10-13,,,,,,,,,,17,1
2018-10-14,,,,,,,,,,13,0
2018-10-15,,,,,,,,,,12,1
2018-10-16,,,,,,,,,,19,1
2018-10-17,,,,,,,,,,11,0
2018-10-18,,,,,,,,,,18,1
2018-10-19,,,,,,,,,,16,1
2018-10-20,,,,,,,,,,9,0
2018-10-21,,,,,,,,,,13,0
2018-10-22,,,,,,,,,,15,0
2018-10-23,,,,,,,,,,12,0
2018-10-24,,,,,,,,,,14,2
2018-10-25,,,,,,,,,,11,1
2018-10-26,,,,,,,,,,21,1
2018-10-27,,,,,,,,,,16,0
2018-10-28,,,,,,,,,,10,0
2018-10-29,,,,,,,,,,10,0
2018-10-30,,,,,,,,,,12,1
2018-10-31,,,,,,,,,,7,1
2018-11-01,,,,,,,,,,4,2
2018-11-02,,,,,,,,,,10,0
2018-11-03,,,,,,,,,,11,0
2018-11-04,,,,,,,,,,4,0
2018-11-05,,,,,,,,,,7,0
2018-11-06,,,,,,,,,,17,0
2018-11-07,,,,,,,,,,18,1
2018-11-08,,,,,,,,,,7,0
2018-11-09,,,,,,,,,,14,0
2018-11-10,,,,,,,,,,13,0
2018-11-11,,,,,,,,,,10,0
2018-11-12,,,,,,,,,,4,2
2018-11-13,,,,,,,,,,25,3
2018-11-14,,,,,,,,,,27,0
2018-11-15,,,,,,,,,,16,3
2018-11-16,,,,,,,,,,20,4
2018-11-17,,,,,,,,,,20,0
2018-11-18,,,,,,,,,,8,1
2018-11-19,,,,,,,,,,8,1
2018-11-20,,,,,,,,,,11,3
2018-11-21,,,,,,,,,,12,0
2018-11-22,,,,,,,,,,11,0
2018-11-23,,,,,,,,,,11,3
