date,Jackson,Jasper,Adams,Clay,Kemper,Tunica,Hinds,Jones,Lee,Madison,Pearl River
2018-09-06,,,,,,,,,,402,98
2018-09-07,,,,,,,,,,405,99
2018-09-08,,,,,,,,,,383,95
2018-09-09,,,,,,,,,,386,95
2018-09-10,,,,,,,,,,392,96
2018-09-11,,,,,,,,,,397,96
2018-09-12,,,,,,,,,,409,101
2018-09-13,,,,,,,,,,426,102
2018-09-14,,,,,,,,,,447,106
2018-09-15,,,,,,,,,,447,106
2018-09-16,,,,,,,,,,435,106
2018-09-17,,,,,,,,,,437,108
2018-09-18,,,,,,,,,,446,108
2018-09-19,,,,,,,,,,458,108
2018-09-20,,,,,,,,,,461,108
2018-09-21,,,,,,,,,,468,108
2018-09-22,,,,,,,,,,466,108
2018-09-23,,,,,,,,,,463,93
2018-09-24,,,,,,,,,,464,93
2018-09-25,,,,,,,,,,474,93
2018-09-26,,,,,,,,,,483,94
2018-09-27,,,,,,,,,,487,94
2018-09-28,,,,,,,,,,492,95
2018-09-29,,,,,,,,,,476,95
2018-09-30,,,,,,,,,,472,97
2018-10-01,,,,,,,,,,480,98
2018-10-02,,,,,,,,,,487,100
2018-10-03,,,,,,,,,,488,100
2018-10-04,,,,,,,,,,498,102
2018-10-05,,,,,,,,,,494,103
2018-10-06,,,,,,,,,,488,103
2018-10-07,,,,,,,,,,476,103
2018-10-08,,,,,,,,,,479,104
2018-10-09,,,,,,,,,,482,105
2018-10-10,,,,,,,,,,485,105
2018-10-11,,,,,,,,,,495,107
2018-10-12,,,,,,,,,,497,107
2018-10-13,,,,,,,,,,499,108
2018-10-14,,,,,,,,,,484,108
2018-10-15,,,,,,,,,,494,109
2018-10-16,,,,,,,,,,502,110
2018-10-17,,,,,,,,,,501,110
2018-10-18,,,,,,,,,,513,111
2018-10-19,,,,,,,,,,520,112
2018-10-20,,,,,,,,,,509,112
2018-10-21,,,,,,,,,,509,112
2018-10-22,,,,,,,,,,514,112
2018-10-23,,,,,,,,,,521,112
2018-10-24,,,,,,,,,,511,114
2018-10-25,,,,,,,,,,517,115
2018-10-26,,,,,,,,,,520,116
2018-10-27,,,,,,,,,,520,116
2018-10-28,,,,,,,,,,522,116
2018-10-29,,,,,,,,,,522,116
2018-10-30,,,,,,,,,,528,117
2018-10-31,,,,,,,,,,516,118
2018-11-01,,,,,,,,,,515,120
2018-11-02,,,,,,,,,,488,120
2018-11-03,,,,,,,,,,499,120
2018-11-04,,,,,,,,,,503,120
2018-11-05,,,,,,,,,,504,120
2018-11-06,,,,,,,,,,521,120
2018-11-07,,,,,,,,,,539,121
2018-11-08,,,,,,,,,,541,121
2018-11-09,,,,,,,,,,547,121
2018-11-10,,,,,,,,,,547,121
2018-11-11,,,,,,,,,,545,121
2018-11-12,,,,,,,,,,539,123
2018-11-13,,,,,,,,,,553,126
2018-11-14,,,,,,,,,,568,126
2018-11-15,,,,,,,,,,567,129
2018-11-16,,,,,,,,,,581,133
2018-11-17,,,,,,,,,,585,133
2018-11-18,,,,,,,,,,564,134
2018-11-19,,,,,,,,,,565,135
2018-11-20,,,,,,,,,,573,138
2018-11-21,,,,,,,,,,575,138
2018-11-22,,,,,,,,,,569,138
2018-11-23,,,,,,,,,,569,141
2018-11-24,,,,,,,,,,564,142
2018-11-25,,,,,,,,,,565,145
2018-11-26,,,,,,,,,,579,146
2018-11-27,,,,,,,,,,588,148
2018-11-28,,,,,,,,,,585,154
2018-11-29,,,,,,,,,,587,161
